Transaction_number,1,2,3,4,5,6,7,8,9
1413,cream cheese ,dishes,,,,,,,
1414,other vegetables,misc. beverages,long life bakery product,chocolate,candy,shopping bags,,,
1415,frozen fruits,detergent,,,,,,,
1416,whipped/sour cream,,,,,,,,
1417,yogurt,,,,,,,,
1418,pork,beef,other vegetables,yogurt,shopping bags,,,,
1419,grapes,butter,domestic eggs,salt,sugar,baking powder,,,
1420,whole milk,soda,,,,,,,
1421,sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food
1422,canned beer,,,,,,,,
1423,meat,hamburger meat,spices,coffee,,,,,
1424,soda,,,,,,,,
1425,bottled beer,,,,,,,,
1426,whole milk,yogurt,,,,,,,
1427,chicken,whole milk,,,,,,,
1428,pip fruit,,,,,,,,
1429,pork,UHT-milk,rolls/buns,margarine,,,,,
1430,oil,,,,,,,,
1431,whole milk,shopping bags,,,,,,,
1432,pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,chocolate,,
1433,root vegetables,coffee,detergent,,,,,,
1434,ham,whole milk,curd,dessert,,,,,
1435,ice cream,soda,bottled beer,chocolate marshmallow,,,,,
1436,sausage,whole milk,brown bread,soda,,,,,
1437,detergent,,,,,,,,
1438,oil,female sanitary products,cling film/bags,,,,,,
1439,tropical fruit,pip fruit,grapes,ice cream,frozen potato products,rolls/buns,pastry,soda,misc. beverages
1440,photo/film,,,,,,,,
1441,UHT-milk,coffee,,,,,,,
1442,meat,bottled beer,shopping bags,,,,,,
1443,grapes,root vegetables,whole milk,butter,whipped/sour cream,condensed milk,roll products ,oil,bottled water
1444,liver loaf,tropical fruit,pip fruit,grapes,whole milk,curd,whipped/sour cream,frozen vegetables,baking powder
1445,beef,root vegetables,other vegetables,soda,bottled beer,hygiene articles,,,
1446,root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine
1447,pork,brown bread,bottled water,fruit/vegetable juice,,,,,
1448,butter milk,shopping bags,,,,,,,
1449,brown bread,specialty chocolate,shopping bags,,,,,,
1450,herbs,curd,roll products ,vinegar,canned beer,newspapers,,,
1451,newspapers,,,,,,,,
1452,brandy,,,,,,,,
1453,pastry,sugar,bottled beer,long life bakery product,shopping bags,,,,
1454,beverages,soda,chocolate,,,,,,
1455,UHT-milk,,,,,,,,
1456,cream cheese ,pasta,jam,sweet spreads,coffee,soda,chocolate,,
1457,rolls/buns,liquor,red/blush wine,,,,,,
1458,rolls/buns,,,,,,,,
1459,rolls/buns,bottled water,,,,,,,
1460,sausage,whole milk,brown bread,pastry,,,,,
1461,hard cheese,rolls/buns,soda,shopping bags,,,,,
1462,canned beer,,,,,,,,
1463,canned beer,,,,,,,,
1464,citrus fruit,tropical fruit,berries,yogurt,cream cheese ,brown bread,meat spreads,,
1465,yogurt,,,,,,,,
1466,yogurt,beverages,rolls/buns,fruit/vegetable juice,pot plants,,,,
1467,salty snack,,,,,,,,
1468,tropical fruit,frozen vegetables,,,,,,,
1469,citrus fruit,other vegetables,whole milk,butter,frozen vegetables,rolls/buns,brown bread,fruit/vegetable juice,cleaner
1470,rolls/buns,,,,,,,,
1471,whipped/sour cream,salty snack,,,,,,,
1472,citrus fruit,whole milk,butter milk,whipped/sour cream,,,,,
1473,butter milk,,,,,,,,
1474,other vegetables,whole milk,soups,bottled water,bottled beer,,,,
1475,canned beer,,,,,,,,
1476,soda,fruit/vegetable juice,,,,,,,
1477,tropical fruit,whole milk,,,,,,,
1478,coffee,soda,bottled beer,liquor (appetizer),bathroom cleaner,,,,
1479,ham,other vegetables,whole milk,frozen vegetables,,,,,
1480,whipped/sour cream,,,,,,,,
1481,citrus fruit,tropical fruit,whole milk,rolls/buns,bottled water,long life bakery product,decalcifier,newspapers,
1482,dessert,fruit/vegetable juice,newspapers,,,,,,
1483,whole milk,rolls/buns,,,,,,,
1484,canned beer,,,,,,,,
1485,rolls/buns,soda,,,,,,,
1486,fish,dessert,yogurt,cling film/bags,,,,,
1487,meat,other vegetables,rolls/buns,fruit/vegetable juice,cling film/bags,,,,
1488,sausage,rolls/buns,,,,,,,
1489,other vegetables,oil,margarine,dishes,,,,,
1490,tropical fruit,other vegetables,waffles,napkins,,,,,
1491,baby cosmetics,,,,,,,,
1492,citrus fruit,coffee,,,,,,,
1493,tropical fruit,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,rolls/buns,margarine,bottled water
1494,spices,,,,,,,,
1495,sausage,hamburger meat,citrus fruit,root vegetables,whole milk,yogurt,rolls/buns,,
1496,sausage,condensed milk,rolls/buns,coffee,,,,,
1497,beef,other vegetables,margarine,candles,,,,,
1498,canned beer,salty snack,shopping bags,,,,,,
1499,canned beer,,,,,,,,
1500,rolls/buns,soda,waffles,shopping bags,,,,,
1501,whole milk,beverages,bottled water,newspapers,,,,,
1502,root vegetables,brown bread,pot plants,,,,,,
1503,yogurt,,,,,,,,
1504,onions,shopping bags,,,,,,,
1505,hamburger meat,citrus fruit,tropical fruit,rolls/buns,rice,coffee,,,
1506,napkins,dishes,,,,,,,
1507,other vegetables,butter milk,UHT-milk,brown bread,bottled water,,,,
1508,chicken,other vegetables,whole milk,curd,UHT-milk,rolls/buns,newspapers,,
1509,meat,whole milk,frozen potato products,margarine,soda,detergent,,,
1510,rolls/buns,,,,,,,,
1511,butter,yogurt,rolls/buns,jam,soda,,,,
1512,sausage,fish,other vegetables,brown bread,shopping bags,,,,
1513,rolls/buns,,,,,,,,
1514,other vegetables,rolls/buns,,,,,,,
1515,frankfurter,whole milk,,,,,,,
1516,newspapers,,,,,,,,
1517,turkey,citrus fruit,tropical fruit,grapes,root vegetables,onions,other vegetables,rolls/buns,brown bread
1518,onions,butter,roll products ,oil,napkins,newspapers,,,
1519,whole milk,curd,ice cream,Instant food products,canned fish,newspapers,,,
1520,yogurt,frozen vegetables,sweet spreads,bottled water,skin care,newspapers,,,
1521,whipped/sour cream,flower (seeds),,,,,,,
1522,frozen vegetables,brown bread,,,,,,,
1523,citrus fruit,whole milk,domestic eggs,canned fruit,dog food,misc. beverages,detergent,,
1524,onions,yogurt,oil,,,,,,
1525,sausage,butter milk,rolls/buns,soda,,,,,
1526,other vegetables,butter,pastry,napkins,dishes,,,,
1527,frankfurter,brown bread,sugar,,,,,,
1528,domestic eggs,rolls/buns,white wine,,,,,,
1529,rolls/buns,canned fish,soda,,,,,,
1530,bottled beer,,,,,,,,
1531,waffles,,,,,,,,
1532,condensed milk,coffee,napkins,,,,,,
1533,canned beer,,,,,,,,
1534,meat,onions,other vegetables,chewing gum,dishes,,,,
1535,whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product,,,,,
1536,liver loaf,beef,pip fruit,packaged fruit/vegetables,whole milk,pastry,margarine,,
1537,frankfurter,root vegetables,rolls/buns,vinegar,sugar,mustard,cat food,napkins,
1538,chicken,whole milk,rolls/buns,flour,salt,vinegar,sugar,,
1539,frankfurter,ham,citrus fruit,other vegetables,,,,,
1540,pip fruit,yogurt,sliced cheese,,,,,,
1541,root vegetables,other vegetables,whole milk,rolls/buns,bottled water,dishes,newspapers,,
1542,pip fruit,other vegetables,,,,,,,
1543,pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee,
1544,other vegetables,whipped/sour cream,condensed milk,salt,,,,,
1545,pastry,long life bakery product,shopping bags,,,,,,
1546,sausage,pip fruit,whipped/sour cream,detergent,dental care,,,,
1547,processed cheese,red/blush wine,newspapers,,,,,,
1548,napkins,,,,,,,,
1549,meat,whole milk,whipped/sour cream,oil,pickled vegetables,long life bakery product,napkins,,
1550,pastry,,,,,,,,
1551,sausage,root vegetables,other vegetables,whole milk,dessert,canned fruit,soda,snack products,waffles
1552,pip fruit,root vegetables,whole milk,ice cream,bottled beer,detergent,,,
1553,frozen vegetables,,,,,,,,
1554,citrus fruit,tropical fruit,coffee,,,,,,
1555,other vegetables,yogurt,whipped/sour cream,soda,bottled beer,salty snack,,,
1556,frankfurter,frozen dessert,white wine,chewing gum,shopping bags,,,,
1557,sausage,,,,,,,,
1558,beef,other vegetables,yogurt,beverages,rolls/buns,flour,margarine,cat food,bottled water
1559,hamburger meat,other vegetables,whipped/sour cream,pastry,napkins,,,,
1560,yogurt,margarine,sugar,bottled water,bottled beer,red/blush wine,long life bakery product,,
1561,beverages,,,,,,,,
1562,whole milk,,,,,,,,
1563,rolls/buns,,,,,,,,
1564,tropical fruit,bottled water,chewing gum,,,,,,
1565,citrus fruit,herbs,butter,domestic eggs,oil,bottled water,bottled beer,,
1566,whole milk,yogurt,whipped/sour cream,soft cheese,candy,,,,
1567,citrus fruit,tropical fruit,root vegetables,yogurt,roll products ,margarine,sugar,bottled water,napkins
1568,soda,,,,,,,,
1569,frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy,,,
1570,sausage,cream,cream cheese ,canned beer,,,,,
1571,napkins,,,,,,,,
1572,yogurt,,,,,,,,
1573,herbs,oil,dog food,,,,,,
1574,sausage,fish,UHT-milk,,,,,,
1575,yogurt,chocolate,,,,,,,
1576,pork,other vegetables,specialty fat,,,,,,
1577,curd,mustard,canned beer,,,,,,
1578,frankfurter,sausage,berries,whole milk,yogurt,brown bread,pastry,margarine,fruit/vegetable juice
1579,frankfurter,frozen meals,semi-finished bread,shopping bags,,,,,
1580,curd,processed cheese,rolls/buns,pastry,pickled vegetables,fruit/vegetable juice,,,
1581,liver loaf,organic sausage,pastry,fruit/vegetable juice,candles,,,,
1582,pork,canned fish,cat food,,,,,,
1583,specialty bar,,,,,,,,
1584,ice cream,,,,,,,,
1585,specialty bar,,,,,,,,
1586,yogurt,shopping bags,,,,,,,
1587,frozen vegetables,coffee,,,,,,,
1588,rolls/buns,canned beer,shopping bags,,,,,,
1589,pastry,soda,,,,,,,
1590,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,rolls/buns,flour,pasta
1591,curd,bottled water,photo/film,,,,,,
1592,beef,citrus fruit,root vegetables,butter,yogurt,whipped/sour cream,frozen meals,pasta,oil
1593,yogurt,bottled water,male cosmetics,,,,,,
1594,chicken,other vegetables,whole milk,curd,ice cream,rolls/buns,sugar,soda,napkins
1595,detergent,,,,,,,,
1596,pip fruit,sweet spreads,coffee,napkins,dishes,,,,
1597,coffee,chocolate,,,,,,,
1598,tropical fruit,berries,yogurt,soda,red/blush wine,,,,
1599,sauces,softener,,,,,,,
1600,pork,onions,other vegetables,bottled beer,,,,,
1601,yogurt,condensed milk,rolls/buns,pickled vegetables,bottled water,brandy,,,
1602,napkins,dishes,,,,,,,
1603,other vegetables,rolls/buns,canned fish,,,,,,
1604,chicken,citrus fruit,onions,bottled water,,,,,
1605,pork,onions,rolls/buns,margarine,canned vegetables,soda,salty snack,house keeping products,
1606,root vegetables,,,,,,,,
1607,ham,tropical fruit,pip fruit,other vegetables,whole milk,processed cheese,frozen vegetables,brown bread,soda
1608,whole milk,rolls/buns,,,,,,,
1609,soda,bottled beer,house keeping products,,,,,,
1610,rolls/buns,margarine,,,,,,,
1611,tropical fruit,soft cheese,rolls/buns,chocolate,,,,,
1612,tropical fruit,pip fruit,brown bread,,,,,,
1613,sausage,hamburger meat,tropical fruit,root vegetables,whole milk,UHT-milk,domestic eggs,rolls/buns,semi-finished bread
1614,bottled beer,,,,,,,,
1615,turkey,tropical fruit,yogurt,UHT-milk,brown bread,pastry,,,
1616,meat,rolls/buns,specialty chocolate,,,,,,
1617,whole milk,coffee,female sanitary products,shopping bags,,,,,
1618,soda,canned beer,,,,,,,
1619,rolls/buns,canned beer,,,,,,,
1620,dessert,UHT-milk,rolls/buns,pastry,canned beer,,,,
1621,sausage,other vegetables,sliced cheese,mustard,fruit/vegetable juice,,,,
1622,pork,onions,other vegetables,butter milk,,,,,
1623,hamburger meat,other vegetables,hard cheese,frozen vegetables,,,,,
1624,sausage,beverages,sliced cheese,rolls/buns,specialty bar,shopping bags,,,
1625,rolls/buns,soda,canned beer,waffles,shopping bags,,,,
1626,misc. beverages,chocolate,,,,,,,
1627,pastry,long life bakery product,,,,,,,
1628,soda,fruit/vegetable juice,,,,,,,
1629,whole milk,,,,,,,,
1630,domestic eggs,long life bakery product,seasonal products,,,,,,
1631,soda,,,,,,,,
1632,pip fruit,,,,,,,,
1633,yogurt,UHT-milk,domestic eggs,rolls/buns,,,,,
1634,frankfurter,pork,pip fruit,,,,,,
1635,specialty chocolate,,,,,,,,
1636,sausage,white bread,bottled beer,,,,,,
1637,oil,,,,,,,,
1638,tropical fruit,pip fruit,soda,bottled beer,popcorn,,,,
1639,citrus fruit,other vegetables,whole milk,,,,,,
1640,napkins,,,,,,,,
1641,whole milk,rolls/buns,,,,,,,
1642,coffee,,,,,,,,
1643,tropical fruit,newspapers,,,,,,,
1644,canned beer,,,,,,,,
1645,bottled beer,,,,,,,,
1646,canned beer,,,,,,,,
1647,rum,,,,,,,,
1648,rolls/buns,margarine,newspapers,,,,,,
1649,pastry,,,,,,,,
1650,whole milk,dessert,,,,,,,
1651,grapes,root vegetables,other vegetables,roll products ,pasta,oil,margarine,coffee,bottled water
1652,whole milk,,,,,,,,
1653,yogurt,rolls/buns,,,,,,,
1654,root vegetables,other vegetables,whole milk,yogurt,rolls/buns,chewing gum,candles,,
1655,pastry,,,,,,,,
1656,canned beer,,,,,,,,
1657,sausage,,,,,,,,
1658,tropical fruit,other vegetables,yogurt,spread cheese,soda,,,,
1659,frankfurter,citrus fruit,tropical fruit,whole milk,butter,whipped/sour cream,,,
1660,rolls/buns,,,,,,,,
1661,frankfurter,pip fruit,other vegetables,whole milk,,,,,
1662,sausage,other vegetables,newspapers,shopping bags,,,,,
1663,whole milk,rolls/buns,,,,,,,
1664,whole milk,canned beer,,,,,,,
1665,whole milk,frozen vegetables,,,,,,,
1666,ham,pip fruit,herbs,other vegetables,butter,rolls/buns,white bread,oil,canned fish
1667,whole milk,yogurt,white bread,newspapers,,,,,
1668,beef,citrus fruit,pip fruit,yogurt,rolls/buns,flour,margarine,soups,bottled water
1669,domestic eggs,rolls/buns,soda,,,,,,
1670,soda,waffles,,,,,,,
1671,whole milk,yogurt,beverages,mustard,bottled water,newspapers,,,
1672,ham,pip fruit,whole milk,rolls/buns,honey,newspapers,,,
1673,curd,yogurt,mayonnaise,brown bread,margarine,sugar,ketchup,dish cleaner,cling film/bags
1674,bottled water,,,,,,,,
1675,butter milk,coffee,,,,,,,
1676,pork,other vegetables,,,,,,,
1677,pork,onions,shopping bags,,,,,,
1678,turkey,other vegetables,whole milk,oil,instant coffee,specialty bar,,,
1679,cream cheese ,soda,,,,,,,
1680,tropical fruit,berries,root vegetables,other vegetables,yogurt,rolls/buns,shopping bags,,
1681,rolls/buns,,,,,,,,
1682,citrus fruit,other vegetables,whole milk,margarine,bottled beer,newspapers,,,
1683,frankfurter,sausage,root vegetables,yogurt,mayonnaise,rolls/buns,brown bread,roll products ,margarine
1684,whipped/sour cream,,,,,,,,
1685,tropical fruit,butter,butter milk,brown bread,long life bakery product,,,,
1686,frankfurter,pip fruit,rolls/buns,bottled water,,,,,
1687,sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice
1688,sausage,citrus fruit,tropical fruit,whole milk,bottled water,specialty bar,detergent,newspapers,
1689,sausage,rolls/buns,soda,specialty bar,,,,,
1690,sliced cheese,rolls/buns,margarine,soda,shopping bags,,,,
1691,candy,,,,,,,,
1692,tropical fruit,berries,pickled vegetables,pet care,soda,,,,
1693,pip fruit,whole milk,butter milk,cream cheese ,domestic eggs,rolls/buns,brown bread,,
1694,citrus fruit,tropical fruit,grapes,dessert,cream cheese ,rolls/buns,bottled water,fruit/vegetable juice,
1695,hamburger meat,pip fruit,other vegetables,butter,cream cheese ,mayonnaise,domestic eggs,pastry,rice
1696,other vegetables,whole milk,curd,spread cheese,curd cheese,rolls/buns,brown bread,Instant food products,coffee
1697,nuts/prunes,rolls/buns,soda,,,,,,
1698,ham,beef,other vegetables,newspapers,,,,,
1699,ham,rolls/buns,,,,,,,
1700,butter,bottled beer,liquor,,,,,,
1701,napkins,,,,,,,,
1702,beef,root vegetables,margarine,bottled water,soda,,,,
1703,frankfurter,hamburger meat,,,,,,,
1704,meat,citrus fruit,other vegetables,canned beer,,,,,
1705,whole milk,curd,mayonnaise,pastry,flour,canned fish,waffles,,
1706,sausage,other vegetables,rolls/buns,soda,,,,,
1707,sausage,other vegetables,,,,,,,
1708,rolls/buns,soda,,,,,,,
1709,root vegetables,white bread,sugar,liquor,,,,,
1710,sausage,root vegetables,whole milk,butter,misc. beverages,,,,
1711,sausage,root vegetables,other vegetables,whole milk,curd,yogurt,hard cheese,white bread,
1712,meat,pork,onions,salad dressing,domestic eggs,white bread,flour,salt,bottled beer
1713,sausage,whole milk,yogurt,pastry,pudding powder,bottled water,soda,bottled beer,canned beer
1714,citrus fruit,,,,,,,,
1715,chocolate,candy,,,,,,,
1716,coffee,,,,,,,,
1717,sausage,tropical fruit,pip fruit,other vegetables,whole milk,curd,dessert,yogurt,whipped/sour cream
1718,beef,citrus fruit,tropical fruit,pip fruit,dessert,cream cheese ,rolls/buns,chocolate,
1719,berries,other vegetables,butter milk,yogurt,sliced cheese,rolls/buns,soda,,
1720,frozen meals,oil,bottled water,bottled beer,flower (seeds),,,,
1721,beef,herbs,whole milk,,,,,,
1722,sausage,meat,root vegetables,other vegetables,whole milk,butter milk,yogurt,pastry,waffles
1723,rolls/buns,,,,,,,,
1724,frankfurter,rolls/buns,fruit/vegetable juice,,,,,,
1725,sausage,pork,whole milk,yogurt,rolls/buns,brown bread,napkins,shopping bags,
1726,pip fruit,whole milk,whipped/sour cream,baking powder,,,,,
1727,grapes,whole milk,baking powder,candles,photo/film,,,,
1728,chocolate marshmallow,,,,,,,,
1729,coffee,,,,,,,,
1730,soda,white wine,,,,,,,
1731,bottled beer,liquor,red/blush wine,,,,,,
1732,butter,cleaner,,,,,,,
1733,fruit/vegetable juice,nut snack,,,,,,,
1734,meat,specialty bar,,,,,,,
1735,pip fruit,butter,curd,chocolate,,,,,
1736,other vegetables,domestic eggs,,,,,,,
1737,frankfurter,white bread,pastry,dog food,soda,shopping bags,,,
1738,long life bakery product,,,,,,,,
1739,tropical fruit,whole milk,sliced cheese,mayonnaise,rolls/buns,mustard,,,
1740,whole milk,white bread,salty snack,,,,,,
1741,canned beer,,,,,,,,
1742,canned beer,,,,,,,,
1743,other vegetables,whipped/sour cream,pastry,red/blush wine,,,,,
1744,soda,,,,,,,,
1745,rolls/buns,soda,specialty bar,candy,newspapers,,,,
1746,bags,,,,,,,,
1747,rolls/buns,,,,,,,,
1748,dessert,frozen dessert,,,,,,,
1749,canned beer,,,,,,,,
1750,butter,domestic eggs,pasta,fruit/vegetable juice,newspapers,,,,
1751,whole milk,butter,yogurt,frozen vegetables,domestic eggs,sugar,,,
1752,canned beer,,,,,,,,
1753,coffee,,,,,,,,
1754,chicken,hamburger meat,pip fruit,onions,other vegetables,whole milk,butter,yogurt,whipped/sour cream
1755,soda,long life bakery product,,,,,,,
1756,beef,other vegetables,domestic eggs,pastry,,,,,
1757,spread cheese,pastry,,,,,,,
1758,citrus fruit,tropical fruit,other vegetables,pot plants,,,,,
1759,canned beer,,,,,,,,
1760,rolls/buns,soda,,,,,,,
1761,pip fruit,roll products ,pot plants,,,,,,
1762,pip fruit,,,,,,,,
1763,whole milk,baking powder,bottled water,soda,cooking chocolate,candles,,,
1764,chocolate,,,,,,,,
1765,sausage,whole milk,rolls/buns,canned beer,,,,,
1766,pip fruit,whole milk,,,,,,,
1767,other vegetables,rolls/buns,,,,,,,
1768,dessert,sliced cheese,hard cheese,white bread,brown bread,,,,
1769,frankfurter,,,,,,,,
1770,citrus fruit,other vegetables,butter,candy,,,,,
1771,citrus fruit,UHT-milk,napkins,,,,,,
1772,pip fruit,curd,soda,bottled beer,softener,hygiene articles,,,
1773,tropical fruit,root vegetables,whole milk,curd,yogurt,frozen vegetables,domestic eggs,,
1774,frankfurter,other vegetables,whole milk,yogurt,condensed milk,cream cheese ,rolls/buns,pastry,
1775,pip fruit,other vegetables,butter milk,frozen vegetables,brown bread,soups,sauces,fruit/vegetable juice,long life bakery product
1776,canned beer,,,,,,,,
1777,pork,citrus fruit,soda,canned beer,chocolate,hygiene articles,,,
1778,rolls/buns,newspapers,,,,,,,
1779,canned beer,,,,,,,,
1780,citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,
1781,grapes,whole milk,white wine,dishes,newspapers,,,,
1782,tropical fruit,,,,,,,,
1783,frozen fish,hygiene articles,shopping bags,,,,,,
1784,tropical fruit,pastry,soda,,,,,,
1785,beverages,pastry,,,,,,,
1786,sausage,pip fruit,whole milk,potato products,,,,,
1787,whole milk,,,,,,,,
1788,sausage,specialty cheese,misc. beverages,bottled beer,,,,,
1789,pork,white bread,pastry,shopping bags,,,,,
1790,whole milk,rolls/buns,newspapers,,,,,,
1791,sausage,whole milk,dessert,spices,bottled beer,,,,
1792,pastry,soda,,,,,,,
1793,soda,,,,,,,,
1794,tropical fruit,grapes,whole milk,canned fish,bottled water,fruit/vegetable juice,,,
1795,whole milk,bottled water,napkins,,,,,,
1796,canned beer,,,,,,,,
1797,pip fruit,whole milk,,,,,,,
1798,turkey,citrus fruit,tropical fruit,pip fruit,berries,root vegetables,herbs,whole milk,butter
1799,yogurt,specialty chocolate,seasonal products,,,,,,
1800,whipped/sour cream,baking powder,,,,,,,
1801,finished products,tropical fruit,bottled water,popcorn,shopping bags,,,,
1802,sausage,mayonnaise,misc. beverages,candy,,,,,
1803,other vegetables,cream cheese ,rolls/buns,,,,,,
1804,newspapers,,,,,,,,
1805,white wine,,,,,,,,
1806,sausage,meat,pip fruit,other vegetables,yogurt,rolls/buns,brown bread,bottled water,soda
1807,misc. beverages,,,,,,,,
1808,yogurt,UHT-milk,soda,red/blush wine,waffles,,,,
1809,beef,frozen fish,rolls/buns,margarine,,,,,
1810,other vegetables,,,,,,,,
1811,photo/film,,,,,,,,
1812,tropical fruit,,,,,,,,
1813,sausage,meat,tropical fruit,soda,hygiene articles,,,,
1814,frankfurter,citrus fruit,rolls/buns,flour,long life bakery product,,,,
1815,tropical fruit,pip fruit,root vegetables,whole milk,yogurt,rolls/buns,sweet spreads,cat food,pet care
1816,citrus fruit,UHT-milk,zwieback,bottled water,hygiene articles,,,,
1817,pork,bottled water,bottled beer,,,,,,
1818,soda,house keeping products,,,,,,,
1819,whole milk,,,,,,,,
1820,cookware,,,,,,,,
1821,butter,rolls/buns,newspapers,,,,,,
1822,frozen vegetables,sugar,coffee,,,,,,
1823,chicken,dessert,yogurt,frozen vegetables,domestic eggs,salt,pasta,specialty fat,bottled water
1824,frankfurter,root vegetables,whole milk,butter milk,whipped/sour cream,rolls/buns,pastry,vinegar,coffee
1825,tropical fruit,yogurt,processed cheese,rolls/buns,bottled water,soda,misc. beverages,female sanitary products,
1826,root vegetables,whole milk,domestic eggs,,,,,,
1827,meat,citrus fruit,pip fruit,curd,yogurt,whipped/sour cream,domestic eggs,pastry,flour
1828,hamburger meat,,,,,,,,
1829,tropical fruit,napkins,,,,,,,
1830,whole milk,,,,,,,,
1831,whole milk,dessert,rolls/buns,pastry,newspapers,,,,
1832,hamburger meat,citrus fruit,butter,frozen vegetables,pasta,sweet spreads,coffee,,
1833,frankfurter,sausage,curd,whipped/sour cream,frozen vegetables,jam,long life bakery product,candy,
1834,soda,canned beer,,,,,,,
1835,whipped/sour cream,rice,popcorn,,,,,,
1836,whole milk,butter,yogurt,frozen meals,bottled water,bottled beer,canned beer,chocolate,flower (seeds)
1837,citrus fruit,root vegetables,other vegetables,salt,bottled water,chewing gum,,,
1838,pip fruit,coffee,,,,,,,
1839,root vegetables,butter milk,frozen vegetables,pastry,dish cleaner,hygiene articles,napkins,,
1840,pip fruit,root vegetables,zwieback,fruit/vegetable juice,pot plants,,,,
1841,onions,other vegetables,whole milk,soups,bottled beer,pot plants,,,
1842,tropical fruit,grapes,oil,canned vegetables,tea,fruit/vegetable juice,snack products,,
1843,other vegetables,brown bread,soda,canned beer,shopping bags,,,,
1844,citrus fruit,rolls/buns,bottled water,red/blush wine,newspapers,,,,
1845,canned beer,shopping bags,,,,,,,
1846,root vegetables,other vegetables,whole milk,curd,cream cheese ,domestic eggs,misc. beverages,napkins,
1847,tropical fruit,pip fruit,whole milk,curd,yogurt,frozen meals,,,
1848,butter milk,,,,,,,,
1849,root vegetables,,,,,,,,
1850,pork,whole milk,margarine,,,,,,
1851,pip fruit,yogurt,ice cream,soda,,,,,
1852,canned beer,newspapers,,,,,,,
1853,tropical fruit,whole milk,butter,brown bread,,,,,
1854,pork,pip fruit,other vegetables,whole milk,yogurt,frozen fish,flour,sugar,baking powder
1855,pip fruit,napkins,,,,,,,
1856,rolls/buns,,,,,,,,
1857,meat,organic sausage,whole milk,butter,UHT-milk,frozen vegetables,pickled vegetables,cat food,female sanitary products
1858,soda,,,,,,,,
1859,root vegetables,,,,,,,,
1860,root vegetables,red/blush wine,,,,,,,
1861,sausage,butter,pastry,canned beer,shopping bags,,,,
1862,butter,white wine,,,,,,,
1863,sauces,red/blush wine,dish cleaner,,,,,,
1864,beef,citrus fruit,pip fruit,root vegetables,other vegetables,whipped/sour cream,margarine,canned vegetables,cat food
1865,ham,pork,butter milk,sweet spreads,shopping bags,,,,
1866,rolls/buns,fruit/vegetable juice,,,,,,,
1867,tropical fruit,rolls/buns,,,,,,,
1868,sausage,tropical fruit,whole milk,curd,butter milk,whipped/sour cream,rolls/buns,softener,house keeping products
1869,tropical fruit,whole milk,cream cheese ,frozen vegetables,rolls/buns,chocolate,candy,pot plants,
1870,soda,,,,,,,,
1871,whole milk,pastry,,,,,,,
1872,pip fruit,,,,,,,,
1873,whole milk,,,,,,,,
1874,chicken,beef,whole milk,bottled water,newspapers,,,,
1875,root vegetables,other vegetables,whipped/sour cream,canned beer,liquor,shopping bags,,,
1876,rolls/buns,meat spreads,,,,,,,
1877,butter,whipped/sour cream,domestic eggs,rolls/buns,,,,,
1878,tropical fruit,sliced cheese,rolls/buns,napkins,pot plants,,,,
1879,sausage,chicken,beef,root vegetables,other vegetables,curd,yogurt,cream cheese ,ice cream
1880,soda,,,,,,,,
1881,rolls/buns,bottled water,soda,,,,,,
1882,tropical fruit,pip fruit,root vegetables,other vegetables,dessert,whipped/sour cream,sliced cheese,pastry,shopping bags
1883,tropical fruit,root vegetables,other vegetables,packaged fruit/vegetables,flower (seeds),,,,
1884,UHT-milk,pastry,coffee,red/blush wine,pot plants,,,,
1885,root vegetables,other vegetables,domestic eggs,sugar,instant coffee,bottled water,soda,bottled beer,red/blush wine
1886,pip fruit,dessert,rolls/buns,pastry,specialty bar,,,,
1887,whole milk,brown bread,newspapers,,,,,,
1888,dessert,zwieback,,,,,,,
1889,other vegetables,frozen meals,pasta,canned fish,coffee,,,,
1890,pork,hamburger meat,yogurt,cream cheese ,spread cheese,frozen vegetables,pasta,instant coffee,soda
1891,frankfurter,domestic eggs,,,,,,,
1892,whole milk,yogurt,sliced cheese,mayonnaise,rolls/buns,pasta,specialty chocolate,,
1893,frankfurter,pork,citrus fruit,pip fruit,other vegetables,whipped/sour cream,UHT-milk,salad dressing,frozen potato products
1894,whipped/sour cream,soda,,,,,,,
1895,curd,,,,,,,,
1896,other vegetables,whole milk,frozen potato products,rolls/buns,pasta,instant coffee,soda,fruit/vegetable juice,bottled beer
1897,ham,bottled water,soda,,,,,,
1898,whole milk,curd,rolls/buns,pastry,pasta,margarine,,,
1899,whole milk,butter,whipped/sour cream,condensed milk,soft cheese,hard cheese,processed cheese,frozen vegetables,detergent
1900,soda,,,,,,,,
1901,margarine,,,,,,,,
1902,pip fruit,,,,,,,,
1903,other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda,,,,
